ISO;Usable?;Continent;Region;Politics;Population;GDP/c PPP 2018;Country;Index-4;Index-3;Index-2;Index-1;Index0;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Index0-H-Raw;Index0-En-1-Raw;Index0-En-2-Raw;Index0-En-3-Raw;Index0-Ec-1-Raw;Index0-Ec-2-Raw;Index0-Ec-3-Raw;Index0-S-1-Raw;Index0-S-2-Raw;Index0-S-3-Raw;v2x_libdem;DI adj. for pop., area, and heterogeneity (A =0.1);FSI
AFG;1;Asia;Southern Asia;;37172386;1951,558504;Afghanistan;;;;;29,75483234;99,76853183;;49,33588004;41,93157685;45,63372845;85,33333333;0;14,71409719;33,34914351;1,766588706;49,18204162;1;17,31621011;1158011321;0;12333,97001;17,3124841;64,4;-20,15832839;17,05718056;1,766588706;-0,817958382;2,83296612;0,233;0,002419441;105
ALB;1;Europe;Southern Europe;Post-communist;2866376;13325,55463;Albania;58,02883339;58,78737261;;64,40110516;63,06732499;96,65414805;80,1104499;51,85127559;71,53896598;67,83356383;90,33333333;17,58380541;35,51568642;47,81094172;61,77742981;90,89613198;80,55378933;77,74245038;16871584927;-0,009889855;12962,8189;53,23435822;62,9;-8,241619459;12,89686272;61,77742981;40,89613198;-0,14584658;0,429;3,248081338;58,9
DZA;1;Africa;Northern Africa;;42228429;15621,85944;Algeria;46,33167357;45,91679176;41,68747032;37,57691445;34,63470668;67,63619159;;48,55980986;7,56308949;28,06144967;47,33333333;1;100;49,44444444;42,75735032;1;51,50061917;31,7526565;1,77588E+11;2,60019E-05;12139,95246;0,499112143;75,8;-12,53800417;-2,099803668;42,75735032;-60,96126897;1,16398514;0,139;0,047573001;75,4
AGO;1;Africa;Sub-Saharan Africa;Post-communist;30809762;6440,97627;Angola;24,64491329;24,7005791;19,51679718;12,5715377;13,30061273;73,06809076;56,79994289;55,13751043;39,37017533;50,43587622;61,66666667;84,03581689;1;48,90082785;1;1;1;1;1,45201E+11;-0,046656123;13784,37761;13,65097428;71,5;-1,596418311;35,85451507;5,44293E-05;-257,9133902;3,46198116;0,197;0,004778123;87,8
AUS;1;Oceania;Australia and New Zealand;;24992369;51601,78395;Australia;56,76168215;58,03625631;58,44774578;59,60704393;58,44678725;11,15121263;100;38,6347723;24,65367973;54,42948401;80,66666667;69,36423749;32,38603906;60,80564774;74,909025;77,20238262;99,38207467;83,83116076;6,66066E+11;0,005810235;9658,693075;5,418522827;65,8;-3,063576251;13,52279219;74,909025;27,20238262;-0,00463444;0,824;1,578032191;19,7
AUT;1;Europe;Western Europe;;8847037;55509,59306;Austria;69,79472527;70,42978456;70,63505033;71,34399085;73,18715189;97,99738457;100;52,31669001;64,66670133;72,32779711;45,33333333;100;65,16006981;70,16446771;97,68715033;76,83016634;57,92818667;77,48183445;10063716326;0,012231032;13079,1725;36,25481694;76,4;2,178961649;6,967986038;97,68715033;26,83016634;-0,3155386;0,715;9,85139715;25
AZE;1;Asia;Western Asia;Post-communist;9942334;18012,31548;Azerbaijan;69,29718833;70,23368586;67,45608029;67,61322662;63,7056799;53,61146421;100;56,93180585;8,531804879;55,15453691;85,66666667;100;72,97912799;86,21526488;81,70898006;1;96,393525;59,70083502;2,67802E+11;0,041657039;14232,95146;1,013193656;64,3;5,312257807;5,404174403;81,70898006;-124,6278104;0,0865554;0,06;0,210147563;73,2
BHR;1;Asia;Western Asia;;1569439;47219,84105;Bahrain;37,03841291;38,93621402;38,67539869;35,59944253;36,66847481;22,55079648;;28,16607102;1;14,58303551;45,33333333;82,50537481;70,95586615;66,2648581;90,75512687;10,60131872;90,022565;63,79300353;5,25123E+11;0,000117545;7041,517755;0,008079732;76,4;-1,749462519;5,80882677;90,75512687;-39,39868128;0,23945844;0,035;0;63,8
BGD;1;Asia;Southern Asia;;161356039;4364,045283;Bangladesh;62,27330548;65,31523417;62,42365567;67,65154257;63,8402987;98,6500625;90,61767165;52,85519643;6,362067394;49,94497849;76,33333333;94,0253063;100;90,11954654;17,46276785;66,53396685;89,77556667;57,92410046;6772621720;-0,002200702;13213,79911;0,660966091;67,1;-0,59746937;-5,899886277;17,46276785;16,53396685;0,2453864;0,131;0,400605634;87,7
BLR;1;Europe;Eastern Europe;Post-communist;9485386;19959,54272;Belarus;64,46041829;67,3292683;69,78748779;71,1979367;70,7634459;98,5337381;100;32,09579515;13,57625134;48,55734883;95,33333333;69,14755772;100;88,16029702;66,7910647;100;82,084592;82,95855223;7358382378;0,040141594;8023,948787;1,720622513;61,4;-3,085244228;-1,251264423;66,7910647;64,29183776;-0,13436556;0,122;0,776610475;68,2
BEL;1;Europe;Western Europe;;11422068;50366,67903;Belgium;76,50016002;76,34609547;75,48523839;76,05246421;74,71446444;100;100;46,48342916;48,39017029;64,95786648;80,33333333;93,85991282;49,69155857;74,62826824;93,94534532;76,8088902;87,35301333;86,03574962;0;0,003275358;11620,85729;20,97748197;65,9;-0,614008718;10,06168829;93,94534532;26,8088902;-0,0948524;0,796;4,414712822;28,6
BLZ;1;Americas;Latin America and the Caribbean;;383071;8786,494801;Belize;;;;;31,97274806;97,36333643;27,13287008;14,76715641;53,46341262;31,78781304;28,33333333;15,87537444;1;15,06956926;52,20260391;78,44969962;74,86119167;68,5044984;13271382630;-0,132740466;3691,789102;19,16577;81,5;-8,412462556;20,13743569;52,20260391;28,44969962;0,6033314;;0,238147129;62,5
BEN;1;Africa;Sub-Saharan Africa;Post-communist;11485048;2420,479725;Benin;14,9116175;14,87261448;12,98347496;15,31077493;9,232050878;100;16,70317276;24,51960646;20,5600255;20,59426824;70,33333333;6,097469105;4,21257576;26,88112607;2,264047163;1;1;1,421349054;0;-0,173459036;6129,901616;5,314858739;68,9;-9,39025309;19,15748485;2,264047163;-56,74805511;2,74141554;0,535;0,024100831;73,6
