ISO;Usable?;Continent;Region;Population;GDP/c PPP 2018 (US$);Country;Index-4;Index-3;Index-2;Index-1;Intergenerational Solidarity Index;Rank;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Annual forest cover change  (%);Carbon footprint intensity ($ GDP (PPP) per GHa);Renewable and nuclear (% of energy consumption)*;Wealth inequality Gini coefficient ;Current account balance (%GDP);Adjusted Net Savings (%GNI);Primary pupil: teacher ratio;Child mortality, per 1000*;"Predicted birth rate per woman; adjusted for child mortality";Fossil hydrocarbon production (million Gj/capita);v2x_libdem;AdjDi;FSI
AFG;1;Asia;Western Asia;37172386;1950;Afghanistan;;;;;33,3;99;99,8;100;49,3;41,9;63,8;85,3;;14,7;33,3;1,77;49,2;1;17,3;0;12300;17,3;64,4;-20,2;2,94;44,7;70,6;4,63;1160;0,233;0,00242;105
ALB;1;Europe;Europe;2866376;13300;Albania;58,8;59,6;;65,3;63,9;34;96,7;88;51,9;71,5;70,4;90,3;17,6;35,5;47,8;61,8;90,9;80,6;77,7;-0,124;13000;53,2;62,9;-8,24;7,1;18,6;9,72;1,65;16900;0,429;3,25;58,9
DZA;1;Africa;North Africa and Middle East;42228429;15600;Algeria;46,3;45,9;41,7;37,6;34,6;93;67,6;;48,6;7,56;28,1;47,3;1;100;49,4;42,8;1;51,5;31,8;0,39;12100;0,499;75,8;-12,5;22,1;23,8;21,9;2,96;178000;0,139;0,0476;75,4
AGO;1;Africa;Sub-Saharan Africa;30809762;6440;Angola;25,7;25,8;20,4;13,2;13,9;120;73,1;79,6;55,1;39,4;58;61,7;84;1;48,9;1;1;1;1;-0,215;13800;13,7;71,5;-1,6;-15,9;50;88,8;5,26;145000;0,197;0,00478;87,8
AUS;1;Oceania;Oceania;24992369;51600;Australia;55;57,9;58,4;59,6;58,4;50;11,2;100;38,6;24,7;54,4;80,7;69,4;32,4;60,8;74,9;77,2;99,4;83,8;0,222;9660;5,42;65,8;-3,06;6,48;15,4;3,9;1,8;666000;0,824;1,58;19,7
AUT;1;Europe;Europe;8847037;55500;Austria;69,8;70,4;70,6;71,3;73,2;12;98;100;52,3;64,7;72,3;45,3;100;65,2;70,2;97,7;76,8;57,9;77,5;0,0557;13100;36,3;76,4;2,18;13;10,5;3,72;1,48;10100;0,715;9,85;25
AZE;1;Asia;Western Asia;9942334;18000;Azerbaijan;69,3;70,2;67,5;67,6;63,7;36;53,6;100;56,9;8,53;55,2;85,7;100;73;86,2;81,7;1;96,4;59,7;2,36;14200;1,01;64,3;5,31;14,6;13,8;26,5;1,89;268000;0,06;0,21;73,2
BHR;1;Asia;North Africa and Middle East;1569439;47200;Bahrain;37;38,9;38,7;35,6;36,7;90;22,6;;28,2;1;14,6;45,3;82,5;71;66,3;90,8;10,6;90;63,8;2,13;7040;0,00808;76,4;-1,75;14,2;11,9;7,56;2,04;525000;0,035;0;63,8
BGD;1;Asia;Western Asia;161356039;4360;Bangladesh;61,2;64,1;61,3;66,4;62,7;43;98,7;82,7;52,9;6,36;47,3;76,3;94;100;90,1;17,5;66,5;89,8;57,9;-0,182;13200;0,661;67,1;-0,597;25,9;33,3;36,2;2,05;6770;0,131;0,401;87,7
BLR;1;Europe;Europe;9485386;20000;Belarus;64,5;67,3;69,8;71,2;70,8;20;98,5;100;32,1;13,6;48,6;95,3;69,1;100;88,2;66,8;100;82,1;83;0,223;8020;1,72;61,4;-3,09;21,3;17,3;4,04;1,67;7360;0,122;0,777;68,2
